City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
325,Robertsport,LR,1601341007,6.75,-11.37,25.73,88,100,3.46
326,Elko,US,1601341007,41.0,-115.5,24.0,13,1,6.7
327,Yellowknife,CA,1601341008,62.46,-114.35,13.0,54,20,6.2
328,Puerto Baquerizo Moreno,EC,1601341008,-0.9,-89.6,19.22,86,58,5.72
329,Ulladulla,AU,1601341008,-35.35,150.47,16.67,48,40,2.6
330,Aromashevo,RU,1601341008,56.86,68.64,3.12,88,20,3.53
331,Vostok,RU,1601341009,46.49,135.88,9.44,80,25,3.13
332,Baft,IR,1601341009,29.23,56.61,14.52,56,0,1.14
333,Piranhas,BR,1601341009,-16.43,-51.82,28.93,29,39,0.69
334,Keti Bandar,PK,1601341009,24.14,67.45,27.0,72,0,4.31
335,Oissel,FR,1601341010,49.33,1.1,15.0,100,90,3.6
336,Daru,PG,1601341010,-9.08,143.21,26.41,84,100,8.64
337,Kasongo-Lunda,CD,1601341010,-6.47,16.82,21.82,89,100,0.38
338,Shinuhayr,AM,1601341010,39.44,46.32,8.57,82,67,0.55
339,Puerto Madero,MX,1601341011,14.72,-92.42,26.0,100,75,2.1
340,Kul'dur,RU,1601341011,49.22,131.63,10.3,61,0,4.61
341,Calhoun,US,1601341011,42.25,-85.0,12.0,87,75,2.6
342,Airai,TL,1601341011,-8.93,125.41,24.75,38,0,2.33
343,Cham,CH,1601341012,47.18,8.46,11.0,87,90,1.5
344,Alofi,NU,1601341012,-19.06,-169.92,28.0,69,75,5.1
345,Ayan,RU,1601341012,56.45,138.17,9.56,80,100,7.26
346,Gornopravdinsk,RU,1601341012,60.05,69.9,0.69,93,100,1.1
347,Bilāspur,IN,1601341013,22.08,82.15,24.33,82,0,1.33
348,Taltal,CL,1601341013,-25.4,-70.48,13.2,75,0,2.27
349,Peniche,PT,1601341013,39.36,-9.38,16.11,88,57,0.89
350,Heihe,CN,1601340950,50.24,127.49,10.0,66,20,3.0
351,Karoi,ZW,1601341014,-16.81,29.69,21.63,50,0,4.18
352,Bānsgāon,IN,1601340826,26.56,83.35,24.0,100,5,1.0
353,Djibouti,DJ,1601341014,11.5,42.5,30.0,79,20,3.51
354,Dallas,US,1601341015,32.77,-96.78,22.0,28,1,4.6
355,Thunder Bay,CA,1601341015,48.4,-89.32,12.22,76,90,4.1
